antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Incident_Auto,"Priority_Priority3, Time_Morning",0.03332,0.0487,0.01128,0.33853541416566624,6.951445876091709,1.0,0.009657315999999999,1.4381722323049002,0.8856550621312046,0.15945716709075486,0.30467298871614235,0.285078795378521
Incident_Disorderly,"Weekend, Priority_Priority3",0.03508,0.05438,0.01082,0.3084378563283922,5.671898792357341,1.0,0.0089123496,1.3673680791426217,0.8536378141507215,0.13758901322482198,0.26866802344323537,0.2537040329821439
"Priority_Priority0, Time_Afternoon",Incident_Traffic,0.03504,0.06348,0.01154,0.329337899543379,5.188057648761484,1.0,0.0093156608,1.3964110978723405,0.8365627964356314,0.13267417797194758,0.28387850717910884,0.2555637197779907
Incident_Disorderly,"Temp_Mild, Priority_Priority3",0.03508,0.06142,0.01116,0.3181299885974914,5.17958301200735,1.0,0.009005386399999999,1.376479364548495,0.8362706392581508,0.13077103351300678,0.2735089055780982,0.24991488032935463
"Incident_Auto, Time_Morning",Priority_Priority3,0.01256,0.18924,0.01128,0.8980891719745223,4.745768188409017,1.0,0.0089031456,7.955582500000002,0.7993254855452571,0.05920638253201765,0.8743021017002841,0.4788480102104698
Incident_Disorderly,"Weather_Clear, Priority_Priority3",0.03508,0.077,0.01276,0.3637400228050171,4.723896400065157,1.0,0.010058840000000001,1.4506648745519715,0.8169696397914711,0.1284736206202175,0.3106609131148614,0.26472715425965143
Incident_Auto,"Weather_Partly Cloudy, Priority_Priority3",0.03332,0.08576,0.01338,0.40156062424969985,4.6823766820160895,1.0,0.0105224768,1.5277069608826477,0.8135404101121723,0.12658467360454115,0.3454242039833084,0.27878870764723795
Incident_Auto,"Priority_Priority3, Weekday",0.03332,0.13486,0.02092,0.6278511404561825,4.655577194543842,1.0,0.0164264648,2.3247149032258068,0.8122686538799767,0.14206165964959935,0.5698397258896624,0.39148748628919167
"Weekend, Incident_Disorderly",Priority_Priority3,0.0123,0.18924,0.01082,0.8796747967479674,4.64846119608945,1.0,0.008492348,6.738072972972971,0.7946492317613859,0.05673238255033557,0.8515896156050711,0.46842543472993386
"Weather_Partly Cloudy, Incident_Auto",Priority_Priority3,0.01534,0.18924,0.01338,0.8722294654498044,4.609117868578548,1.0,0.0104770584,6.345437959183672,0.7952376905679309,0.06997907949790795,0.84240646485989,0.47146666677689963
Incident_Disorderly,"Weather_Partly Cloudy, Priority_Priority3",0.03508,0.08576,0.01382,0.3939566704675029,4.593711176160248,1.0,0.010811539200000001,1.5085390028222012,0.810752275197428,0.12913474116987478,0.33710696367201487,0.2775520292636022
"Incident_Auto, Temp_Warm",Priority_Priority3,0.01192,0.18924,0.01036,0.8691275167785234,4.59272625649188,1.0,0.0081042592,6.195037948717945,0.7917014832244369,0.05429769392033543,0.8385804884041188,0.4619364068779533
"Weather_Clear, Incident_Disorderly",Priority_Priority3,0.01478,0.18924,0.01276,0.8633288227334236,4.562084246107713,1.0,0.0099630328,5.932194455445547,0.7925153200033167,0.06671546585799436,0.8314283175457886,0.4653782139454478
